Item Name/Number,Purchase Price,Vendor Purchase Price,NEW OP,Minimum Quantity
Apollo C2-0100,148,148,183.52,1
Apollo C2-0099,148,148,183.52,1
Apollo C2-0098,148,148,183.52,1
Apollo C2-0097,148,148,183.52,1
Apollo C2-0096,148,148,183.52,1
Apollo C2-0095,148,148,183.52,1
Apollo C2-0094,148,148,183.52,1
Apollo C2-0093,148,148,183.52,1
Apollo C2-0092,148,148,183.52,1
Apollo C2-0091,148,148,183.52,1
Apollo C2-0090,148,148,183.52,1
Apollo C2-0089,148,148,183.52,1
Apollo C2-0088,148,148,183.52,1
Apollo C2-0087,148,148,183.52,1
Apollo C2-0086,148,148,183.52,1
Apollo C2-0085,148,148,183.52,1
Apollo C2-0084,148,148,183.52,1
Apollo C2-0083,148,148,183.52,1
Apollo C2-0082,148,148,183.52,1
Apollo C2-0081,148,148,183.52,1
Apollo C2-0080,148,148,183.52,1
Apollo C2-0079,148,148,183.52,1
Apollo C2-0078,148,148,183.52,1
Apollo C2-0076,148,148,183.52,1
Apollo C2-0075,148,148,183.52,1
Apollo C2-0074,148,148,183.52,1
Apollo C2-0072,148,148,183.52,1
Apollo C2-0071,148,148,183.52,1
Apollo C2-0070,148,148,183.52,1
Apollo C2-0069,148,148,183.52,1
Apollo C2-0068,148,148,183.52,1
Apollo C2-0067,148,148,183.52,1
Apollo C2-0066,148,148,183.52,1
Apollo C2-0065,148,148,183.52,1
Apollo C2-0064,148,148,183.52,1
Apollo C2-0063,148,148,183.52,1
Apollo C2-0062,148,148,183.52,1
Apollo C2-0061,148,148,183.52,1
Apollo C2-0060,148,148,183.52,1
Apollo C2-0059,148,148,183.52,1
Apollo C2-0058,148,148,183.52,1
Apollo C2-0057,148,148,183.52,1
Apollo C2-0056,148,148,183.52,1
Apollo C2-0055,148,148,183.52,1
Apollo C2-0053,148,148,183.52,1
Apollo C2-0052,148,148,183.52,1
Apollo C2-0051,148,148,183.52,1
Apollo C2-0050,148,148,183.52,1
Apollo C2-0049,148,148,183.52,1
Apollo C2-0048,148,148,183.52,1
Apollo C2-0047,148,148,183.52,1
Apollo C2-0046,148,148,183.52,1
Apollo C2-0045,148,148,183.52,1
Apollo C2-0044,148,148,183.52,1
Apollo C2-0043,148,148,183.52,1
Apollo C2-0042,148,148,183.52,1
Apollo C2-0041,148,148,183.52,1
Apollo C2-0040,148,148,183.52,1
Apollo C2-0039,148,148,183.52,1
Apollo C2-0038,148,148,183.52,1
Apollo C2-0037,148,148,183.52,1
Apollo C2-0036,148,148,183.52,1
Apollo C2-0035,148,148,183.52,1
Apollo C2-0034,148,148,183.52,1
Apollo C2-0033,148,148,183.52,1
Apollo C2-0032,148,148,183.52,1
Apollo C2-0031,148,148,183.52,1
Apollo C2-0030,148,148,183.52,1
